nombre,categoria,etiqueta,precio,imagen,,,,,,
Hayaatim,ARABE,,93.1,https://rimage.ripley.com.pe/home.ripley/Attachment/MKP/1736/PMP20000571420/full_image-1.jpeg,,,,,,
Hayaati,ARABE,,93.1,"https://media.falabella.com/falabellaPE/20956258_2/w=1500,h=1500,fit=cover",,,,,,
Haayati Florencia,ARABE,,91.33,https://rimage.ripley.com.pe/home.ripley/Attachment/MKP/4467/PMP20000982276/imagen2-1.jpeg,,,,,,
Hayaati Ard Al Zaafaran,ARABE,,89.55,https://wholesale.intenseoud.com/cdn/shop/files/1_0dcd9094-699c-4f92-8956-9c233ff6a409.jpg?v=1718379365,,,,,,
Hayaati Al Maleki ,ARABE,,93.1,https://http2.mlstatic.com/D_Q_NP_823506-MLU71475377335_092023-O.webp,,,,,,
Hayaati Gold Elixir,ARABE,,89.55,https://http2.mlstatic.com/D_NQ_NP_766096-MLU69851897461_062023-O.webp,,,,,,
Qimmah,ARABE,,103.75,https://simple.ripley.com.pe/product/_next/image?url=https%3A%2F%2Frimage.ripley.com.pe%2Fhome.ripley%2FAttachment%2FMKP%2F1736%2FPMP20000766831%2Ffull_image-1.jpeg&w=3840&q=100,,,,,,
Liam,ARABE,,110.85,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQA7pc1eZUiZeQZ1e07ZCkQKwtUYTALlZ3SZQ&s,,,,,,
Liam Blue,ARABE,,103.57,https://http2.mlstatic.com/D_NQ_NP_675104-MPE108277509851_032026-O.webp,,,,,,
Shaheen Gold,ARABE,,105.53,https://http2.mlstatic.com/D_NQ_NP_978280-MLA69569955955_052023-O.webp,,,,,,
Shaheen Silver,ARABE,,105.53,https://http2.mlstatic.com/D_NQ_NP_843005-MLA90654667061_082025-O.webp,,,,,,
Al Qiaam,ARABE,,109.08,https://i0.wp.com/lujoperfume.com/wp-content/uploads/2024/05/Al-Qiam-Gold-100-Ml-3.4-oz-EDP-by-Lattafa-1_resultado.webp?fit=1080%2C1080&ssl=1,,,,,,
Al Qiaam Silver,ARABE,,109.08,https://http2.mlstatic.com/D_NQ_NP_700258-MLU74223258142_022024-O.webp,,,,,,
Ansaam Gold,ARABE,,116.18,https://http2.mlstatic.com/D_NQ_NP_903689-MLA70475985692_072023-O.webp,,,,,,
Ameerat Al Arab,ARABE,,85.82,https://http2.mlstatic.com/D_NQ_NP_961778-MLA90653343985_082025-O.webp,,,,,,
Maahir,ARABE,,105.53,https://www.mercadolibre.com.pe/perfume-maahir-lattafa-unisex-edp-100ml/p/MPE22233763,,,,,,
Maahir Black,ARABE,,105.53,https://rimage.ripley.com.pe/home.ripley/Attachment/MKP/3769/PMP20000400487/thumbnail-1.jpeg,,,,,,
Maahir Legacy,ARABE,,117.6,https://http2.mlstatic.com/D_NQ_NP_706881-MLU76828406128_062024-O.webp,,,,,,
Confidential Platininum,ARABE,,89.55,https://http2.mlstatic.com/D_NQ_NP_716663-MLU70850249629_082023-O.webp,,,,,,
Confidential Private Gold,ARABE,,89.55,https://http2.mlstatic.com/D_Q_NP_837396-MLU69500988247_052023-O.webp,,,,,,
Khanjar Eau Parfum,ARABE,,178.3,https://http2.mlstatic.com/D_NQ_NP_910083-MLA92539244696_092025-O.webp,,,,,,
Sehr,ARABE,,137.48,"https://media.falabella.com/falabellaPE/137445683_01/w=1500,h=1500,fit=cover",,,,,,
Art of Nature,ARABE,,144.58,https://fimgs.net/mdimg/perfume/o.98241.jpg,,,,,,
Vintange radio,ARABE,,123.28,https://http2.mlstatic.com/D_NQ_NP_780711-MLU73983279778_012024-O.webp,,,,,,
